QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,,,
,,,,,,,,,,QB,Geno Smith (11746440),Geno Smith,11746440,QB,4300,CIN@LAC 12/09/2018 04:05PM ET,LAC,0.18
,,,,,,,,,,RB,Doug Martin (11746660),Doug Martin,11746660,RB/FLEX,4300,PIT@OAK 12/09/2018 04:25PM ET,OAK,6.76
,,,,,,,,,,QB,Trevor Siemian (11746032),Trevor Siemian,11746032,QB,4300,MIN@SEA 12/10/2018 08:15PM ET,MIN,0
,,,,,,,,,,QB,Blaine Gabbert (11745809),Blaine Gabbert,11745809,QB,4200,JAX@TEN 12/06/2018 08:20PM ET,TEN,4.1
,,,,,,,,,,WR,Zay Jones (11746767),Zay Jones,11746767,WR/FLEX,4200,NYJ@BUF 12/09/2018 01:00PM ET,BUF,9.41
,,,,,,,,,,WR,John Brown (11745896),John Brown,11745896,WR/FLEX,4200,BAL@KC 12/09/2018 01:00PM ET,BAL,10.94
,,,,,,,,,,QB,Jacoby Brissett (11745851),Jacoby Brissett,11745851,QB,4200,IND@HOU 12/09/2018 01:00PM ET,IND,-0.16
,,,,,,,,,,QB,Brandon Weeden (11745899),Brandon Weeden,11745899,QB,4200,IND@HOU 12/09/2018 01:00PM ET,HOU,-0.1
,,,,,,,,,,RB,Nyheim Hines (11746646),Nyheim Hines,11746646,RB/FLEX,4200,IND@HOU 12/09/2018 01:00PM ET,IND,10.47
,,,,,,,,,,QB,Tyrod Taylor (11745914),Tyrod Taylor,11745914,QB,4200,CAR@CLE 12/09/2018 01:00PM ET,CLE,10.86
,,,,,,,,,,QB,Cooper Rush (11746461),Cooper Rush,11746461,QB,4200,PHI@DAL 12/09/2018 04:25PM ET,DAL,0
,,,,,,,,,,QB,Mike Glennon (11746029),Mike Glennon,11746029,QB,4200,DET@ARI 12/09/2018 04:25PM ET,ARI,0
,,,,,,,,,,QB,AJ McCarron (11746544),AJ McCarron,11746544,QB,4200,PIT@OAK 12/09/2018 04:25PM ET,OAK,0.06
